date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,-1,-2.8,0,0,,,15.8,,1025.8,
2024-01-02 00:00:00,-0.5,-3.3,2.8,0,,,19.3,,1021.6,
2024-01-03 00:00:00,0.9,-0.6,2.2,0,,,11,,1019.3,
2024-01-04 00:00:00,-0.5,-3.3,1.7,0,,,7.1,,1027.3,
2024-01-05 00:00:00,-0.4,-4.4,2.8,0,,,7.6,,1023,
2024-01-06 00:00:00,0.5,0,1.1,,,,5.1,,1009.1,
2024-01-07 00:00:00,0.6,0,1.1,,,,11.3,,1014.3,
2024-01-08 00:00:00,0.9,-1.1,2.2,,,,12,,1022.7,
2024-01-09 00:00:00,1.3,0.6,2.2,,,,15.9,,992.4,
2024-01-10 00:00:00,0.2,-1.1,1.1,,,,17.9,,999.8,
2024-01-11 00:00:00,-0.5,-3.9,1.1,,,,11.4,,1008.7,
2024-01-12 00:00:00,0.9,-2.2,2.2,,,,16.2,,995.6,
2024-01-13 00:00:00,-6.3,-16.1,0.6,,,,24.5,,1002.1,
2024-01-14 00:00:00,-21,-22.8,-16.7,,,,23.2,,1021.4,
2024-01-15 00:00:00,-20.3,-23.3,-16.7,0,,,15.6,,1025.3,
2024-01-16 00:00:00,-18.2,-21.7,-16.7,0,,,21.9,,1019.9,
2024-01-17 00:00:00,-12,-16.7,-6.7,0,,,17.1,,1015.8,
2024-01-18 00:00:00,-7.3,-11.1,-4.4,,,,9.8,,1018.1,
2024-01-19 00:00:00,-11.7,-14.4,-10,,,,23.4,,1024.9,
2024-01-20 00:00:00,-11.8,-15,-7.8,0,,,17.2,,1034.1,
2024-01-21 00:00:00,-11.1,-18.3,-6.7,0,,,14.6,,1035,
2024-01-22 00:00:00,-1.6,-6.1,1.1,,,,18.4,,1025,
2024-01-23 00:00:00,1.4,0.6,2.8,,,,4.6,,1024.6,
2024-01-24 00:00:00,2.2,0.6,3.9,,,,4.6,,1021.3,
2024-01-25 00:00:00,2.7,1.7,3.3,4.9,,,9.6,,1018.9,
2024-01-26 00:00:00,3.5,2.8,4.4,,,,9.2,,1019.7,
2024-01-27 00:00:00,3,2.2,5,,,,7.8,,1022.2,
2024-01-28 00:00:00,2.6,1.1,3.3,,,,15.4,,1020.6,
2024-01-29 00:00:00,1.6,-0.6,5,0,,,15,,1020.1,
2024-01-30 00:00:00,3.7,2.8,5,,,,12.8,,1014,
2024-01-31 00:00:00,3,2.8,3.3,0,,,14.2,,1019.5,
2024-02-01 00:00:00,4.5,1.1,11.7,0,,,12.2,,1014.7,
2024-02-02 00:00:00,2.1,-1.1,3.3,0,,,12.4,,1021.3,
2024-02-03 00:00:00,0.2,-2.8,3.3,0,,,7.4,,1020.7,
2024-02-04 00:00:00,1.8,-1.7,6.7,0,,,11,,1019,
2024-02-05 00:00:00,1.4,-1.1,4.4,0,,,12.8,,1021.3,
2024-02-06 00:00:00,2.5,0,8.9,0,,,6.2,,1023.4,
2024-02-07 00:00:00,3.8,-1.7,8.3,0,,,9.2,,1021.1,
